title,tags
基于OTSU算法的图像阈值分割技术,Particle Swarm Optimization; 图像分割; 粒子群算法; Chaos method; image segmentation; OTSU; Wolf pack optimization; 混沌法; 狼群优化算法
基于Nginx的高并发访问服务器的研究与应用,机器学习; 负载均衡; machine learning; high concurrency; 高并发; load balancing; Nginx; independent training node; 独立训练节点
3D打印分层方向优化与分层算法研究,3D printing; 3D打印; Slicing algorithm; Slicing direction; STL; STL模型; Volume deviation; 体积误差; 分层方向; 分层算法
基于区块链的档案管理系统的研究与设计,Blockchain; 区块链; RESTful; Digital archives; IPFS; Zabbix; 数字档案
基于LoRaWan的广域物联网技术研究及实现,物联网; Gateaway node; IoT; LoRa technology; LoRaWan protocol; LoRaWan协议; LoRa技术; 网关节点
随机森林自适应特征选择和参数优化算法研究,Feature selection; 特征选择; 随机森林; 参数选择; 粒子群; Group Lasso; Group LASSO; Parameter selection; Particle swarm; Random forest
基于python的Web数据挖掘技术研究与实现,数据挖掘; python; Data mining; 分类算法; classification algorithm; scrapy web crawler; scrapy网络爬虫
基于Word2Vec的中文短文本聚类算法研究与应用,词向量; 特征权重; 情感分析; Sentiment analysis; Feature weights; RWMD distance; RWMD距离; Word vectors
基于随机梯度下降的神经网络权重优化算法,神经网络; Neural network; Adaptive mechanism; Gradient variance; Learning rate; Stochastic Gradient Descent; 学习率; 梯度方差; 自适应机制; 随机梯度下降
基于深度学习的图像分割研究与应用,深度学习; 神经网络; neural network; 图像分割; Deep learning; image segmentation
深度卷积神经网络在OCR问题中的应用研究,Deep Learning; Character Recognition; 字符识别; Character Segmentation; OCR; OCR深度学习; Text Area Detection; 字符切分; 文字区域检测
基于web前端的性能优化框架模型研究,Node.js; Component-based development; Separation; Vue; 前后端分离; 组件化开发
自动化仓储调度系统中多AGV路径规划的研究与实现,避障; 优先级队列; Automated Guided Vehicle; Deadlock; Obstacle Avoidance; Priority Queue; Time window of nodes; 死锁; 自动导引车; 节点时间窗
深度学习下细粒度级别图像的视觉分析研究,深度学习; convolutional neural networks; deep learning; 卷积神经网络; 图像识别; image recognition; 图像检索; few-shot learning; fine-grained images; image retrieval; 少量样本学习; 细粒度级别图像
基于局部中心量度的聚类算法研究,CLA clustering algorithm; CLA聚类算法; Density-based clustering algorithm; LCM clustering algorithm; LCM聚类算法; LGC clustering algorithm; LGC聚类算法; Local centrality measure; Local gravitation model; 密度聚类算法; 局部中心量度; 局部引力模型
基于YOLO的目标检测算法设计与实现,卷积神经网络; Convolutional Neural Network; 目标检测; Object Detection; Dynamic Threshold; YOLO; 动态阈值
基于LSTM和投资者情绪的股票行情预测研究,卷积神经网络; LSTM; CNN; 时间序列; Emotional Features; Stock Price Prediction; Time Series; 情感特征; 股价预测; 长短期记忆模型
朴素贝叶斯算法的改进与应用,Android; 朴素贝叶斯; Na(?)ve Bayes; Phishing Website; Supervised Learning; 安卓; 监督学习; 钓鱼网站
基于进化算法的复杂多目标优化问题求解,特征选择; feature selection; Evolutionary multi-objective optimization; large-scale multi-objective optimization problem; many-objective optimization problem; Pareto front; Pareto前沿面; 大规模多目标优化问题; 进化多目标优化; 高维多目标优化问题
基于区块链的智能合约研究与实现,区块链; PBFT; 隐私保护; blockchain; 智能合约; partially blind signature; privacy preserving; smart contracts; 部分盲签名
神经网络及其组合模型在时间序列预测中的研究与应用,人工神经网络; 数据预处理; Artificial neural network; Combination forecasting model; Data pre-processing; Metaheuristic optimization algorithm; Time series forecasting; 元启发式优化算法; 时间序列预测; 组合预测模型
基于卷积神经网络的小麦叶部病害图像识别研究,卷积神经网络; 特征提取; 图像识别; Convolutional Neural Networks; Feature Extraction; Image Recognition; Wheat Leaf Disease; 小麦叶部病害
基于机器学习的中文文本分类算法的研究与实现,贝叶斯; 卷积神经网络; Feature extraction; 文本分类; Convolutional neural network; Bayes; Classification system; Texts classification; 新闻分类系统; 特征词提取
多源异构数据融合关键技术研究及其应用,数据预处理; D-S证据理论; 数据融合; Basic Probability Assignment Function; Data Fusion; Data Preprocession; Dempster-Shafer Evidence Theory; FCM; 基本概率分配函数
基于深度模型的脱机手写体汉字识别研究,深度学习; 卷积神经网络; Convolutional Neural Network; Deep Learning; Recurrent Neural Network; 递归神经网络; Offline Handwritten Chinese Character Recognition; 脱机手写体汉字识别
基于深度学习和双目视觉的工业机器人抓取方法研究,人工智能; 深层神经网络; 工业机器人; 轨迹规划; 双目视觉; Artificial intellegence; Binocular vision; Deep neural network; grasping detection; Industrial robot; Trajectory planning; 抓取检测
基于Redis分布式存储的负载平衡及性能优化研究,load balance; distributed storage; 分布式存储; 负载平衡; group of balance strategy; the cached map-group strategy; 子集群策略; 缓存分组策略
基于注意力机制和改进型RNN的Web文本情感分析研究,sentiment analysis; 情感分析; RNN; CNN; attention mechanism; Web text; Web文本; 注意力机制
基于word2vec和卷积神经网络的文本分类研究,卷积神经网络; 文本分类; 文本表示; text classification; convolutional neural network; text representation; word2vec
基于知识图谱的农业知识服务系统研究,知识图谱; Agriculture Disease and pest; Agriculture Knowledge Service; Entity Linking; Knowledge Graph; Knowledge Question-Answering; 农业病虫害; 农业知识服务; 实体链接; 知识问答
基于神经网络的电影票房预测模型研究与实现,遗传算法; BP神经网络; Genetic Algorithm; BP Neural Network; Box Office Prediction; 票房预测
高精度GPS定位方法及其在无人机定位系统中应用的研究,GPS; Kalman滤波; UAV; carrier phase; integer ambiguity; Kalman filtering; LAMBDA; 整周模糊度; 载波相位
基于随机森林的不平衡大数据分类算法研究,随机森林; class discrimination degree; cost-sensitive; imbalanced big data; random forest; 不平衡大数据; 代价敏感; 类区分度
网络流量异常检测技术研究与实现,主成分分析; 异常检测; 预测模型; anomaly detection; network traffic; one-class classifier; prediction model; principle component analysis; 一分类器; 网络流量
基于深度学习的目标检测算法研究,深度学习; Deep Learning; 目标检测; Object Detection; Convolutional Network; 卷积网络
基于Redis的分布式Key-Value系统的优化研究,Redis; Optimization; 优化; 分布式; Distributed; Key-Value
基于车载摄像机的前方车辆测距测速方法研究,单目视觉; Distance measurement; Hough Forest; Hough森林; Monocular vision; Vehicle camera calibration; velocity measurement; 测距; 测速; 车载摄像机标定
基于特征选择的文本分类方法研究,机器学习; 文本分类; text classification; sentiment analysis; machine learning; sentiment classification; 情感分类; bi-double direction user interest sets; key feature selection; Text mining; 关键特征选择; 双向用户兴趣集
基于深度神经网络的肿瘤图像分析与处理,Semantic Segmentation; 特征提取; 目标检测; 深度卷积神经网络; Target Detection; Feature Extraction; CAD System; CAD系统; CT Image; CT图像; Deep Convolutional Neural Networks; MR Image; MR图像; Unbalanced Distribution; 分布不均衡; 语义分割
基于多样化内容数据的个性化推荐系统,深度学习; deep learning; collaborative filtering; 协同过滤; 推荐系统; Recommender systems; cross domain recommendation; heterogeneous information; news recommendation; 多样化内容; 新闻推荐; 跨域推荐
基于区块链的数据访问控制方法及应用研究,区块链; 访问控制; Access Control; Block chain; Hyperledger; 超级账本
基于分词频的特征选择算法在文本分类中的研究,Feature selection; 特征选择; 文本分类; Class frequency; Document frequency; Segmented term frequency; Text categorization; 分词频; 文档频率; 类别频率
基于改进MPC的无人车轨迹快速跟踪算法研究与实现,Autonomous Vehicle; Lateral Stability; Model Predict Control; Phase Plane; Side Slip Angle; 侧偏角; 无人驾驶汽车; 模型预测控制; 横向稳定; 相平面
基于移动边缘计算的任务卸载策略研究,博弈论; flow shop scheduling; game theory; Mobile edge computing; task offloading; 任务卸载; 流水线调度; 移动边缘计算
基于区块链智能合约的仓单交易平台研究与实现,区块链; blockchain; Ethereum Virtual Machine; PBFT consensus algorithm; PBFT共识算法; smart contract; warehouse receipt transaction; 仓单交易; 以太坊虚拟机; 智能合约
带有主动恢复的拜占庭容错算法在区块链中的应用,Blockchain; Byzantine Fault Tolerance; 区块链; Consensus Algorithm; RBFT; 共识算法; 拜占庭容错RBFT
面向冷启动问题的推荐算法研究,collaborative filtering; 协同过滤; 推荐系统; recommendation system; user preferences; 用户偏好; 上下文信息; cold-start problem; contextual information; 冷启动
基于轮盘赌策略的混沌萤火虫算法研究,自适应惯性权重; Adaptive Inertia Weight; Chaotic Sequence; Firefly Algorithm; Good-Point Set; Roulette Wheel Selection Strategy; 佳点集; 混沌序列; 萤火虫算法; 轮盘赌策略
基于区块链技术的安全DNS系统设计,区块链; blockchain; content-addressable network; DNS; DNSSEC; 内容可寻址网络; 域名系统
基于Node.js和REST风格的移动端页面可视化构建平台,Node.js; 可视化; REST; componentization; Mobile end page construction; visualization; 移动端页面构建; 组件化
网联汽车入侵检测系统的研究与实现,CAN总线; CAN Bus; In-vehicle Network; Intrusion Detection Rules; Intrusion Detection System; 入侵检测系统; 入侵检测规则; 车内网
基于模拟退火算法的公交车辆排班方法研究,模拟退火算法; public transport; simulated annealing algorithm; vehicle scheduling; 公共交通; 车辆排班
改进的SSD的目标检测研究,目标检测; Object Detection; Feature Pyramid Networks; MSSD; SSD; TMSSD; 特征金字塔网络
基于用户兴趣和主题模型的混合推荐算法的研究与实现,collaborative filtering; 协同过滤; similarity measure; 主题模型; topic model; 相似度度量; forgetting curve; time window; 时间窗口; 遗忘曲线
基于生成对抗网络的图像类别不平衡问题数据扩充方法,Generative Adversarial Nets; Image Augmentation; Image Class Imbalance; Underlying Noise; 图像扩充; 图像类别不平衡; 底层噪声; 生成对抗网络
基于云的智能家居系统设计与实现,Smart home; 智能家居; cloud computing services; LZW compression algorithm; sensory data preprocessing; smart home website; 云计算服务; 字典序压缩算法; 感知数据预处理; 智能家居网站
图像直方图特征及其应用研究,gray histogram; HSV-; HSV距离公式; image classification; L1regularization logistic regression; L1正则化逻辑回归; similarity measurement method; space distance formula; spatial color histogram; threshold segmentation; visual; visual attention; words histogram; 图像分类; 灰度直方图; 相似性度量; 视觉注意机制; 视觉词直方图; 空间颜色直方图; 阈值分割
Web系统下提高MySQL数据库安全性的研究与实现,database security; mechanism; MySQL security; MySQL安全机制; SQL injection attack prevention; SQL inspection attack; SQL注入攻击; SQL注入攻击预防; 数据库安全
灰度图像阈值分割的自适应和快速算法研究,adaptive algorithm; fast algorithm; fuzzy set; Image thresholding; intelligent optimization algorithms; 图像阈值化; 快速算法; 智能优化算法; 模糊集; 自适应算法
灰度图像的直方图均衡化处理研究,Image Enhancement; Brightness Preserving; Contrast Enhancement; Histogram Dividing; Histogram Equalization; 亮度保持; 图像增强; 对比度增强; 直方图划分; 直方图均衡化
迁移学习问题与方法研究,迁移学习; Domain Generalization; Heterogeneous Data Analytics; Latent Representation Learning; Probability Distribution Adaptation; Transfer Learning; 异构数据分析; 概率分布适配; 隐含表征学习; 领域泛化
基于多种数据源的中文知识图谱构建方法研究,Entity; Knowledge Graph Construction; Linked Open Data; Ontology Learning; Self-Supervised Learning; 实体; 开放链接数据; 本体学习; 知识图谱构建; 自监督学习
基于迁移学习与深度卷积特征的图像标注方法研究,深度学习; automatic image annotation; convolutional neural networks; deep learning; feature learning; multi-label ranking; multi-source heterogeneous features; multiple kernel learning; transfer learning; 卷积神经网络; 图像自动标注; 多标签排序; 多核学习; 多源异构特征; 特征学习; 迁移学习
基于卷积神经网络的图像语义分割,深度学习; 卷积神经网络; Convolutional Neural Network; De-convolutional Neural Network; Deep Learning; Semantic Segmentation; 反卷积; 图像语义分割
基于LSTM的语义关系分类研究,深度学习; Deep Learning; LSTM; RNN; Semantic Relation Classification; 关系分类
基于卷积神经网络的图像分类方法研究,卷积神经网络; image classification; 图像分类; artificial neural network; 人工神经网络; convolution neural network; active sample learning method; dynamic growth convolution neural network; 主动样本学习方法; 动态生长卷积神经网络
大数据处理技术与系统研究,性能优化; parallel computing; big data machine learning system; big data processing; big data programming model; big data storage and management; parallel machine learning algorithms; performance optimization; 分布式存储管理; 大数据分析编程模型; 大数据处理; 大数据机器学习系统; 并行化计算; 机器学习并行化算法
时间序列数据挖掘若干关键问题研究,clustering; 聚类; similarity measure; approximate representation; one nearest neighbor classification; time series data mining; 最近邻分类; 时间序列数据挖掘; 相似性度量方法; 近似表示
改进的卷积神经网络模型及其应用研究,卷积神经网络; k-means; Convolutional neural network; maxout; Traffic Sign Recognition; 交通标识识别
基于动态授权的拜占庭容错共识算法的区块链性能改进研究,Blockchain; Byzantine Fault Tolerance; DDBFT; De-centralization; 区块链; 去中心化; 拜占庭容错
基于深度学习的目标检测算法研究及应用,深度学习; 卷积神经网络; Convolutional Neural Network; Deep Learning; 目标检测; Object Detection; Pedestrian Detaction; 行人检测
图像阈值分割关键技术研究,阈值分割; 图像分割; Adaptive Thresholding; Image Clustering; Image Segmentation; Thresholding; Thresholds Selection; Uneven Illumination; 图像聚类; 自适应阈值分割; 阈值选取; 非均匀光照
基于内容的个性化推荐系统研究,个性化推荐; k-means; K-means; Content-based Recommendation; Naive Bayes; Personalized Recommendation; 基于内容的推荐; 朴素贝叶斯
基于社交大数据的用户信用画像方法研究,社交网络; 特征学习; 微博数据; Credit Profiling; Event Sequence Mining; Feature Learning; Social Big Data; Social Network; Topic Models; User Profiling; Weibo Dataset; 主题模型; 事件序列挖掘; 信用画像; 用户画像; 社交大数据
基于深度学习的文本表示与分类方法研究,深度学习; Deep learning; Text classification; Text representation; Word embedding; 文本分类; 文本表示; 词向量
基于区块链的去中心化交易关键技术研究及应用,Ethereum; k-means; K-means; Merkle Patricia Tree; Merkle Patricia树; PBFT; 以太坊
基于Spark平台的CURE算法并行化设计与应用,Spark; CURE; Custering algorithm; Parallelization; User BehaviorAnalysis; 并行化; 用户行为分析; 移动互联网; 聚类算法
基于向量空间模型的文本相似度算法研究,independent weight; nonzero weight; text segment; text similarity; VSM; 向量空间模型; 文本段; 文本相似度; 自主加权; 非零权值
网联汽车信息安全问题及CAN总线异常检测技术研究,Information entropy; 信息熵; Anomaly detection; CAN总线; Connected vehicle; Controller Area Network; Cyber security; Decision tree; In-vehicle bus; 信息安全; 决策树; 异常检测; 网联汽车; 车载总线网络
基于结构的纹理特征及应用研究,图像处理; Image; Image Processing; Retrieval; Ship Detection; Structrual Texture; Texture Feature Extraction; 图像检索; 纹理特征提取; 结构纹理; 舰船检测
基于卷积神经网络的人脸检测和性别识别研究,卷积神经网络; convolutional neural network; face detection; gender recognition; 人脸检测; 性别识别
基于MVC模式的Web前端框架关键技术研究与实现,MVC; designing; Front-end framework; Modular; MVC Pattern; Template rendering; 前端框架; 模块化设计; 模板渲染
混合推荐算法的研究,协同过滤; Collaborative Filtering; 相似度; Hybrid Recommendation Algorithm; Nearest Neighbors Selection; Personalized Recommendation Algorithm; Similarity; 个性化推荐算法; 最近邻选择; 混合推荐算法
基于深度学习的文本情感分类研究,深度学习; deep learning; feature fusion; semi-; sentiment classification; supervised RAE method; 半监督RAE方法; 情感分类; 特征融合
粒子群优化算法及差分进行算法研究,粒子群优化算法; Convergence analysis; Differential Evo-lution; Evolutionary computation; Function optimization; Particle swarm optimization; 函数优化; 差分进化算法; 收敛性分析; 进化计算
面向推荐系统的关键问题研究及应用,Collaborative filtering; Demographic prediction; Evolutionary game theory; Global; optimization problem; Recommender systems; Time backtracking; 全局优化算法; 协同过滤; 推荐系统; 时间回溯模型; 演化博弈; 用户属性预测模型; 用户相似度模型
机器学习方法在入侵检测中的应用研究,机器学习; 特征选择; Machine Learning; False Positive Elimination; Feature Selection; Intrusion Detection; RBF Neural Network; RBF神经网络; 入侵检测; 误报消除
HBase存储的研究与应用,数据库; 查询; database; Hadoop; HBase; loading data; query; storage; 加载数据; 存储
基于JavaScript的WebGIS前端开发及优化,前端开发; JavaScript; Backbone; front-end development; OpenLayers; RequireJS; WebGIS
一种无人驾驶车辆路径跟踪控制方式研究,Autonomous Land Vehicle; Fuzzy Logic; path tracking method; PID; PID控制; Pure-pursuit; 无人驾驶车辆; 模糊控制; 纯追踪; 路径跟踪
推荐系统用户相似度计算方法研究,协同过滤; 推荐系统; Collaborative Filtering; Recommender Systems; 推荐算法; Recommendation Algorithm; User Modeling; User Similarity; 用户建模; 用户相似度
云计算任务调度策略研究,云计算; Cloud computing; 负载均衡; constraint; Cost-driven; Execution efficiency; Load balance; QoS objective; QoS目标约束; Resource management; Service revenue; Task scheduling; 任务调度; 成本驱动; 执行效率; 服务收益
基于词向量的短文本分类方法研究,分类; Classification; Short Text; 短文本; 词向量; Word Distributed Representation; Word2Vec; 文本扩展
基于模糊聚类算法的医学图像分割技术研究,Pixel; Fuzzy c-means; Medical image segmentation; Partial volume effect; relevance; 像素相关性; 医学图像分割; 模糊聚类算法; 部分容积效应
基于目标函数的模糊聚类新算法及其应用研究,clustering algorithm; equalisation; fuzzy c-means clustering(FCM); fuzzy clustering; fuzzy control indicator; imbalanced data set; m-value; m-value generalization; m值广义化; objective function; optimization(PSO); particle swarm; particle swarm optimization generalization; possibilistic c-means clustering(PCM); self-adaptive; 不平衡数据集; 可能性c均值聚类(PCM); 模糊c均值聚类(FCM); 模糊控制指标; 模糊聚类; 目标函数; 粒子群广义化; 粒子群算法(PSO); 聚类算法均衡化; 自适应m值
基于FPGA的深度学习加速器设计与实现,深度学习; Deep Learning; artificial neural network; 人工神经网络; accelerator; FPGA; low power; prediction; training; 低功耗; 加速器; 训练过程; 预测过程
面向高维小样本数据的分类特征选择算法研究,分类; 特征选择; Ensemble Learning; 集成学习; Classification; Feature Selection; High-Dimensionality and Small-Sample; Lasso; 高维小样本
JavaScript恶意代码检测技术研究,机器学习; JavaScript; Machine Learning; Malicious Code; Malicious Code Detection; 代码混淆; 恶意代码; 恶意代码检测
基于Redis的分布式消息服务的设计与实现,Redis; Distributed Message Service; ZooKeeper; 分布式消息服务
物联网应用若干关键问题的研究,context-aware; Internet of things; ontology; QoS; semantic annotation; 上下文感知; 服务质量; 本体; 物联网; 语义标注
工业机器人轨迹规划算法的研究与实现,840D; Industrial robots; SCARArobot; SCARA机器人; trajectory planning; 工业机器人; 轨迹规划
基于Node.js高并发web系统的研究与应用,node.js; Node.js; asynchronous I/O; event-driven; high concurrency; 事件驱动; 异步I/O; 高并发
数据挖掘中的离群点检测算法研究,Average Distance; Frequency; Outlier Detection; 平均距离; 离群点检测; 频率
Top-N协同过滤推荐技术研究,collaborative filtering; 协同过滤; algorithm; data sparse; modeling missing data; popularity bias; Top-N recommendation; Top-N推荐; two-layer model of user behavior; two-step recommendation; 两步预测推荐算法; 两阶段用户行为模式; 数据稀疏性; 流行偏置; 缺失数据建模
Docker容器的性能监控和日志服务的设计与实现,Cloud Computing; 云计算; Docker; Log; Performance Monitoring; 容器; 性能监控; 日志
基于深度学习的图像检索研究,深度学习; Deep Learning; artificial neural network; 人工神经网络; CBIR; Content-based image retrieval; 基于内容的图像检索; 多隐层
基于深度神经网络的文本表示及其应用,深度学习; Deep Learning; 词向量; Automatic Text Summarization; Language Representation; Semantic Matching; Word Vector; 自动文摘; 语义匹配; 语言表示
深度学习在图像语义分类中的应用,深度学习; Deep Learning; 图像分类; Image Classification; Image Features; Image Semantics; 图像特征; 图像语义
基于指纹的无线室内定位中接入点选择算法研究,室内定位; access points selection; fingerprint; indoor positioning; WLAN; 指纹库; 接入点选择; 无线局域网
三维重建中点云数据处理关键技术研究,三维重建; 3D reconstruction; ICP registration; ICP配准; Mesh reconstruction; Point clouds process; RANSAC; Trilateral filtering; 三边滤波; 点云处理; 网格重建
基于深度学习的自然场景文字识别,深度学习; Deep Learning; Character Recognition; Image Understanding; Natural Scene Image; Semantic; 图像理解; 文字识别; 自然图像; 高层语义
基于深度学习的人脸识别方法的研究,深度学习; Deep Learning; Face Recognition; 人脸识别; 深度自编码网络; Deep Autoencoder Network; Deep Convolution Neural Network; 深度卷积神经网络
基于深度学习的入侵检测,深度学习; Learning; 特征学习; Deep Learning; Deep Belief Networks; 深度信念网络; Intrusion Detection; 入侵检测; Feature; Feature Reduction; 特征降维
基于物联网技术的智慧医院架构及服务访问研究,物联网; Service; 服务; Access; Architecture; Context; Control; Electronic; Internet of things(IOT); medical record; Medicine distribution; RBAC; Smart hospital; User group; WSDL; 上下文; 体系架构; 智慧医院; 用户组; 电子病历; 药品流通; 访问控制
基于深度学习的情感词向量及文本情感分析的研究,深度学习; deep learning; 卷积神经网络; Convolutional Neural Network; 词向量; sentiment analysis; sentiment word vector; word vector; 情感分析; 情感词向量
基于卷积神经网络的图像分类技术研究,机器学习; 深度学习; deep learning; 卷积神经网络; image classification; 图像分类; 图像识别; machine learning; convolution neural network; handwritten digit recognition; image recognition; 手写数字识别
基于Redis的信息存储优化技术研究与应用,Redis; Heterogeneous read-write separation; Information storage optimization; optimization; Redis优化; 信息存储优化; 异构读写分离
基于HOG特征和模板匹配的行人检测与跟踪研究,Pedestrian detection; 行人检测; algorithm; article filter; CamShift algorithm; CamShift算法; HOG特征; Template matching; 模板匹配; 粒子滤波
基于CNN的字符识别方法研究,人工神经网络; Character Recognition; 字符识别; Artificial Neural Networks; CNN; Components Analysis; Convolutional Neural Networks; EBLearn; PCA; Principal
基于深度置信网络的中文信息抽取方法,深度学习; recognition; Deep Belief Nets; deep Learning; entity relation detection and; Named entity detection and recognition; post-; processing of Viterbi algorithm; Restricted Boltzmann Machine; 受限制玻尔兹曼机; 实体关系检测与识别; 实体检测与识别; 深度置信网络; 维特比后处理
基于Kubernetes的云端资源调度器改进,container-as-a-service; data center operating system; distributed system; high availability; preemptive scheduling; resource scheduler; 分布式系统; 容器即服务; 抢占式调度; 数据中心操作系统; 资源调度; 高可用
uC/OS-Ⅱ嵌入式操作系统内核移植研究及其实现,Cortex-M3; kernel transplantation; STM32; uC/OS-II; uIP; 内核移植
基于大数据的推荐算法研究,协同过滤; 推荐系统; Collaborative Filtering; Matrix Factorization; 矩阵分解; Recommendation System
基于遗传算法的云计算任务调度算法研究,Algorithm; 遗传算法; Cloud Computing; 云计算; 任务调度; Genetic; Job Scheduling; QOS; Quality of Service; Simulated Annealing; 模拟退火
基于直方图均衡化和Retinex的图像去雾算法研究,图像增强; 直方图均衡化; histogram equalization; homomorphic filter; image defogging; image enhancement; Retinex algorithm; Retinex算法; 同态滤波; 图像去雾
基于卷积神经网络的交通标识识别研究与应用,卷积神经网络; 图像分类; Convolutional neural network; Traffic Sign Recognition; 交通标识识别; Image Classification; Target Detection; 目标识别
